sf,tair,pn
0.387,9.937,0
0.387,9.753,0
0.387,10.229,0
0.387,10.483,2.333
0.387,10.642,0
0.387,9.074,0
0.387,10.357,0
0.387,11.474,0
0.387,11.075,0.405
0.387,11.955,1.06
0.387,12.34,12.614
0.387,11.051,0.616
0.387,11.744,1.39
0.387,12.492,2.387
0.387,13.038,6.415
0.387,13.142,13.832
0.387,11.259,0
0.387,13.004,20.093
0.387,14.797,3.991
0.387,12.982,0.702
0.387,11.543,3.669
0.387,11.61,2.454
0.387,12.65,24.316
0.387,14.039,24.422
0.387,13.216,12.793
0.387,11.56,0
0.387,11.582,0
0.387,11.009,0
0.387,11.054,0
0.387,12.721,19.224
0.387,10.872,5.019
0.387,12.392,1.756
0.387,13.745,0
0.387,15.595,9.11
0.387,11.612,2.928
0.387,12.977,10.326
0.387,13.027,0.136
0.387,14.363,0
0.387,13.731,0
0.387,13.307,3.641
0.387,12.561,9.631
0.387,11.358,5.67
0.387,10.843,15.972
0.387,12.339,23.328
0.387,14.118,15.902
0.387,11.65,0.432
0.387,11.72,8.071
0.387,9.872,1.43
0.387,11.301,0
0.387,12.607,0
0.387,15.1,16.834
0.387,11.549,15.159
0.387,12.022,13.447
0.387,10.272,12.379
0.387,8.473,0.24
0.387,10.143,2.181
0.387,12.746,4.622
0.387,12.727,23.564
0.387,10.832,0.95
0.387,10.803,12.149
0.412,10.241,0
0.412,10.882,7.309
0.412,10.911,0.236
0.412,12.073,0.89
0.412,10.485,13.236
0.412,9.405,0.848
0.412,9.854,0.851
0.412,9.351,20.72
0.412,9.774,5.116
0.412,11.234,0.253
0.412,12.349,1.462
0.412,13.154,0
0.412,13.531,0
0.412,14.501,0
0.412,16.037,0
0.412,15.407,0
0.412,13.407,0
0.412,15.71,0
0.412,14.546,0
0.412,11.847,0
0.412,14.669,0
0.412,15.719,0
0.412,14.115,0.395
0.412,12.733,0
0.412,11.801,0
0.412,12.433,0
0.412,11.686,0
0.412,11.645,0
0.412,12.173,0
0.412,14.806,0
0.412,17.206,0
0.475,19.076,0
0.475,20.577,0
0.475,19.757,0
0.475,15.02,0
0.475,13.631,0
0.475,13.787,0
0.475,14.932,0
0.475,13.626,0
0.475,12.582,0
0.475,13.97,0
0.475,15.791,0
0.475,17.163,0.286
0.475,15.293,4.445
0.475,13.315,3.587
0.475,12.776,0.239
0.475,12.572,10.175
0.475,12.169,19.684
0.475,11.85,0.583
0.475,12.917,0
0.475,13.97,0
0.475,15.281,0
0.475,13.504,0.077
0.475,12.564,0
0.475,14.091,0
0.475,14.473,0
0.475,16.355,0
0.475,15.713,0
0.475,12.117,0
0.475,13.198,0
0.475,15.916,0
0.55,15.115,0
0.55,14.989,0
0.55,14.06,0
0.55,14.56,0
0.55,13.45,0
0.55,12.558,0
0.55,11.701,13.791
0.55,14.138,7.381
0.55,13.522,0
0.55,11.774,0
0.55,10.779,0
0.55,12.471,0
0.55,12.67,0
0.55,12.27,12.245
0.55,12.558,11.63
0.55,11.954,3.222
0.55,13.748,0
0.55,16.808,0
0.55,18.341,0
0.55,20.938,0
0.55,23.446,0
0.55,24.185,0
0.55,24.012,0
0.55,21.443,0
0.55,17.111,0
0.55,16.092,0
0.55,16.977,0
0.55,17.873,0
0.55,16.354,0
0.55,14.821,0
0.55,15.964,0
0.625,17.106,0
0.625,15.644,0
0.625,14.619,0
0.625,14.038,0
0.625,12.886,0
0.625,13.978,0
0.625,13.347,0
0.625,11.926,4.208
0.625,11.71,0
0.625,12.507,0
0.625,13.793,0
0.625,15.293,0
0.625,19.342,0
0.625,26.644,0
0.625,25.745,0
0.625,22.538,0
0.625,19.918,0
0.625,16.435,0
0.625,17.034,0
0.625,20.137,0
0.625,20.522,0
0.625,20.073,0
0.625,17.889,0
0.625,17.363,0
0.625,17.611,0
0.625,19.07,0
0.625,20.376,0
0.625,20.216,0
0.625,19.524,0
0.625,17.703,0
0.762,15.636,0
0.762,15.048,0
0.762,14.147,0
0.762,14.324,0
0.762,13.841,0
0.762,13.348,0
0.762,13.163,0
0.762,14.01,0
0.762,15.804,0
0.762,16.653,0
0.762,16.575,0
0.762,16.221,0
0.762,15.503,0
0.762,16.269,0
0.762,16.883,0
0.762,15.411,0
0.762,14.04,0
0.762,14.443,0
0.762,16.601,0
0.762,17.103,0
0.762,16.657,0
0.762,15.978,0
0.762,18.146,0
0.762,19.389,0
0.762,18.786,0
0.762,17.102,0
0.762,15.335,0
0.762,17.484,0
0.762,18.711,0
0.762,19.26,0
0.762,20.316,0
0.712,22.705,0
0.712,22.794,1.778
0.712,20.27,0
0.712,18.012,0
0.712,17.984,0
0.712,18.127,0
0.712,16.748,0
0.712,15.593,0
0.712,15.307,0
0.712,15.081,0
0.712,17.184,0
0.712,19.197,0
0.712,18.348,0
0.712,19.037,0
0.712,18.735,0
0.712,19.883,0
0.712,19.112,0
0.712,17.267,0
0.712,16.193,0
0.712,16.016,0
0.712,17.044,0
0.712,16.75,0
0.712,15.653,0
0.712,15.538,0
0.712,17.763,0
0.712,17.39,0
0.712,17.236,0
0.712,17.103,0
0.712,15.586,0
0.712,14.667,0
0.712,14.161,3.679
0.712,15.426,1.115
0.712,15.319,0
0.712,15.529,0
0.712,15.068,0
0.712,16.094,0
0.712,19.326,0
0.712,20.938,0
0.712,20.109,0
0.712,18.035,0
0.712,17.932,0
0.712,19.342,0
0.712,19.557,0
0.712,22.693,0.374
0.712,21.104,0.933
0.712,17.852,0
0.712,18.136,0
0.712,21.722,0
0.712,24.604,0
0.712,24.978,0
0.712,24.226,0
0.712,19.242,0
0.712,16.706,0.265
0.712,16.955,0
0.712,17.379,0
0.712,18.438,0
0.712,18.345,0
0.712,16.912,0
0.712,15.718,0
0.712,17.571,0
0.712,21.724,0
0.587,22.55,0
0.587,20.307,0
0.587,18.115,0
0.587,17.552,0
0.587,17.412,0
0.587,17.806,0
0.587,17.531,0
0.587,18.168,0
0.587,16.609,3.052
0.587,13.832,5.044
0.587,13.333,0.717
0.587,13.709,0
0.587,14.428,0
0.587,16.097,0
0.587,15.673,0
0.587,16.33,0
0.587,17.173,0
0.587,16.679,0
0.587,16.783,0
0.587,15.633,0.472
0.587,14.979,0
0.587,16.381,0
0.587,16.767,0
0.587,16.979,0
0.587,14.662,4.829
0.587,13.036,16.663
0.587,12.592,1.648
